date,La Voz del Interior,Perfil,Página/12,TN,Ámbito,isPartial
2017-11-01,15,41,0,65,1,False
2017-12-01,15,38,0,79,1,False
2018-01-01,15,36,0,46,1,False
2018-02-01,15,36,0,51,1,False
2018-03-01,12,34,0,41,1,False
2018-04-01,10,34,0,45,1,False
2018-05-01,11,35,0,45,1,False
2018-06-01,10,34,0,50,1,False
2018-07-01,9,32,0,38,1,False
2018-08-01,10,36,0,50,1,False
2018-09-01,12,36,0,48,1,False
2018-10-01,10,33,0,37,1,False
2018-11-01,10,33,0,49,1,False
2018-12-01,10,33,0,40,1,False
2019-01-01,11,32,0,44,1,False
2019-02-01,10,33,0,41,1,False
2019-03-01,9,33,0,40,1,False
2019-04-01,8,33,0,39,1,False
2019-05-01,9,34,0,40,1,False
2019-06-01,7,33,0,42,1,False
2019-07-01,7,32,0,38,1,False
2019-08-01,7,36,0,50,1,False
2019-09-01,7,33,0,38,1,False
2019-10-01,7,32,0,44,1,False
2019-11-01,6,32,0,34,1,False
2019-12-01,7,34,0,41,1,False
2020-01-01,7,34,0,38,1,False
2020-02-01,7,31,0,39,1,False
2020-03-01,9,33,0,78,1,False
2020-04-01,8,31,0,47,2,False
2020-05-01,8,31,0,37,2,False
2020-06-01,7,30,0,37,1,False
2020-07-01,8,31,0,34,1,False
2020-08-01,7,31,0,32,2,False
2020-09-01,7,31,0,33,2,False
2020-10-01,7,30,0,31,2,True
